N,graph,r,p_Bd,fix_prob,fix_time
50,cycle,0.998,0.7000000000000001,0.014,23029.5
50,cycle,0.998,0.8,0.02,19288.4
50,cycle,0.998,0.9,0.022,18937.090909090908
50,cycle,0.998,1.0,0.021,12954.47619047619
50,cycle,1.0,0.0,0.029,21367.068965517243
50,cycle,1.0,0.1,0.013,23873.153846153848
50,cycle,1.0,0.2,0.028,17863.178571428572
50,cycle,1.0,0.30000000000000004,0.016,19952.3125
50,cycle,1.0,0.4,0.028,18194.75
50,cycle,1.0,0.5,0.017,24152.941176470587
50,cycle,1.0,0.6000000000000001,0.024,18037.958333333332
50,cycle,1.0,0.7000000000000001,0.02,17707.95
50,cycle,1.0,0.8,0.013,26291.30769230769
50,cycle,1.0,0.9,0.017,17786.352941176472
50,cycle,1.0,1.0,0.027,26032.48148148148
50,cycle,1.002,0.0,0.024,21298.291666666668
50,cycle,1.002,0.1,0.014,23722.714285714286
50,cycle,1.002,0.2,0.02,21833.3
50,cycle,1.002,0.30000000000000004,0.025,20487.08
50,cycle,1.002,0.4,0.017,20775.470588235294
50,cycle,1.002,0.5,0.02,17392.55
50,cycle,1.002,0.6000000000000001,0.02,19174.35
50,cycle,1.002,0.7000000000000001,0.018,20712.222222222223
50,cycle,1.002,0.8,0.024,23198.625
50,cycle,1.002,0.9,0.018,23240.222222222223
50,cycle,1.002,1.0,0.024,16918.791666666668
50,cycle,1.004,0.0,0.026,19664.076923076922
50,cycle,1.004,0.1,0.019,19944.684210526317
50,cycle,1.004,0.2,0.025,20724.8
50,cycle,1.004,0.30000000000000004,0.028,25000.14285714286
50,cycle,1.004,0.4,0.027,17857.777777777777
50,cycle,1.004,0.5,0.012,19374.916666666668
50,cycle,1.004,0.6000000000000001,0.027,24326.62962962963
50,cycle,1.004,0.7000000000000001,0.031,20948.483870967742
50,cycle,1.004,0.8,0.023,20966.217391304348
50,cycle,1.004,0.9,0.014,23177.785714285714
50,cycle,1.004,1.0,0.024,20994.458333333332
50,cycle,1.006,0.0,0.027,18051.037037037036
50,cycle,1.006,0.1,0.024,21897.333333333332
50,cycle,1.006,0.2,0.028,23007.35714285714
50,cycle,1.006,0.30000000000000004,0.02,23351.5
50,cycle,1.006,0.4,0.029,24178.51724137931
50,cycle,1.006,0.5,0.036,21968.86111111111
50,cycle,1.006,0.6000000000000001,0.021,20664.47619047619
50,cycle,1.006,0.7000000000000001,0.015,17488.4
50,cycle,1.006,0.8,0.027,21208.62962962963
50,cycle,1.006,0.9,0.022,19902.409090909092
50,cycle,1.006,1.0,0.028,26191.10714285714
