,N,graph,p_Bd,r,abs_time,fix_prob
113,3,42570a,0.30000000000000004,1.75,3.4122327469553455,0.4346848730881206
114,3,42570a,0.4,1.75,3.581194029850747,0.4480777928539123
115,3,42570a,0.5,1.75,3.77094430992736,0.4615819209039547
116,3,42570a,0.6000000000000001,1.75,3.9856969696969706,0.4753498622589533
117,3,42570a,0.7000000000000001,1.75,4.230873478030704,0.4895657474694001
118,3,42570a,0.8,1.75,4.513571428571431,0.5044588744588746
119,3,42570a,0.9,1.75,4.843268206039075,0.5203240217449808
120,3,42570a,1.0,1.75,5.232911392405064,0.5375527426160339
121,3,42770a,0.0,0.25,2.9999999999999996,0.1333333333333333
122,3,42770a,0.1,0.25,2.934426229508196,0.12251366120218572
123,3,42770a,0.2,0.25,2.8709677419354835,0.112258064516129
124,3,42770a,0.30000000000000004,0.25,2.8095238095238098,0.10253968253968253
125,3,42770a,0.4,0.25,2.75,0.09333333333333331
126,3,42770a,0.5,0.25,2.692307692307692,0.08461538461538459
127,3,42770a,0.6000000000000001,0.25,2.636363636363636,0.07636363636363634
128,3,42770a,0.7000000000000001,0.25,2.5820895522388057,0.06855721393034825
129,3,42770a,0.8,0.25,2.5294117647058822,0.061176470588235284
130,3,42770a,0.9,0.25,2.4782608695652177,0.054202898550724625
131,3,42770a,1.0,0.25,2.428571428571429,0.04761904761904761
132,3,42770a,0.0,0.4,3.0000000000000013,0.19047619047619055
133,3,42770a,0.1,0.4,2.9586776859504145,0.1803227075954349
134,3,42770a,0.2,0.4,2.9180327868852456,0.17049180327868851
135,3,42770a,0.30000000000000004,0.4,2.878048780487805,0.16097560975609757
136,3,42770a,0.4,0.4,2.8387096774193554,0.1517665130568356
137,3,42770a,0.5,0.4,2.8000000000000007,0.14285714285714296
138,3,42770a,0.6000000000000001,0.4,2.7619047619047614,0.1342403628117914
139,3,42770a,0.7000000000000001,0.4,2.7244094488188977,0.12590926134233224
140,3,42770a,0.8,0.4,2.6875,0.1178571428571429
141,3,42770a,0.9,0.4,2.6511627906976747,0.11007751937984499
142,3,42770a,1.0,0.4,2.6153846153846154,0.1025641025641026
143,3,42770a,0.0,0.55,3.0,0.23655913978494625
144,3,42770a,0.1,0.55,2.9748848890749264,0.22858306665406405
145,3,42770a,0.2,0.55,2.949958298582151,0.22075564762750313
146,3,42770a,0.30000000000000004,0.55,2.925218113834649,0.2130752152101175
147,3,42770a,0.4,0.55,2.9006622516556297,0.20554012675354272
148,3,42770a,0.5,0.55,2.876288659793815,0.1981487639951225
149,3,42770a,0.6000000000000001,0.55,2.8520953163516847,0.19089953260706305
150,3,42770a,0.7000000000000001,0.55,2.828080229226362,0.18379086175555356
151,3,42770a,0.8,0.55,2.804241435562806,0.17682120366959606
152,3,42770a,0.9,0.55,2.7805770012190165,0.1699890332192963
153,3,42770a,1.0,0.55,2.7570850202429154,0.1632928475033739
154,3,42770a,0.0,0.7,2.9999999999999987,0.2745098039215685
155,3,42770a,0.1,0.7,2.986130374479888,0.2691985532076908
156,3,42770a,0.2,0.7,2.972299168975068,0.2639400358481342
157,3,42770a,0.30000000000000004,0.7,2.958506224066389,0.25873403303229986
158,3,42770a,0.4,0.7,2.9447513812154686,0.25358032715848766
159,3,42770a,0.5,0.7,2.9310344827586206,0.24847870182555779
160,3,42770a,0.6000000000000001,0.7,2.917355371900826,0.2434289418246637
161,3,42770a,0.7000000000000001,0.7,2.9037138927097654,0.23843083313105148
162,3,42770a,0.8,0.7,2.890109890109889,0.23348416289592766
163,3,42770a,0.9,0.7,2.876543209876543,0.22858871943839273
164,3,42770a,1.0,0.7,2.863013698630136,0.22374429223744288
165,3,42770a,0.0,0.85,2.9999999999999987,0.3063063063063062
166,3,42770a,0.1,0.85,2.994153756211634,0.30371420821581596
167,3,42770a,0.2,0.85,2.9883109292811216,0.30113257617641015
168,3,42770a,0.30000000000000004,0.85,2.982471516213847,0.29856140101538853
169,3,42770a,0.4,0.85,2.976635514018691,0.296000673570767
170,3,42770a,0.5,0.85,2.9708029197080297,0.29345038469126056
171,3,42770a,0.6000000000000001,0.85,2.964973730297723,0.2909105252362694
172,3,42770a,0.7000000000000001,0.85,2.9591479428071197,0.2883810860758629
173,3,42770a,0.8,0.85,2.953325554259043,0.2858620580907627
174,3,42770a,0.9,0.85,2.9475065616797895,0.2833534321723297
175,3,42770a,1.0,0.85,2.941690962099125,0.2808551992225461
176,3,42770a,0.0,1.0,2.9999999999999987,0.3333333333333331
177,3,42770a,0.1,1.0,2.9999999999999987,0.3333333333333331
178,3,42770a,0.2,1.0,2.9999999999999987,0.33333333333333326
