,N,graph,p_Bd,r,abs_time_uniform,fix_prob_uniform,abs_time_temp,fix_prob_temp
661,4,437e0a,0.1,1.0,5.499999999999999,0.24999999999999994,5.499999999999999,0.24999999999999994
662,4,437e0a,0.2,1.0,5.5,0.25,5.5,0.25
663,4,437e0a,0.30000000000000004,1.0,5.499999999999999,0.24999999999999992,5.499999999999999,0.24999999999999992
664,4,437e0a,0.4,1.0,5.499999999999999,0.24999999999999992,5.499999999999999,0.24999999999999992
665,4,437e0a,0.5,1.0,5.499999999999999,0.24999999999999992,5.499999999999999,0.24999999999999992
666,4,437e0a,0.6000000000000001,1.0,5.499999999999999,0.24999999999999994,5.499999999999999,0.24999999999999994
667,4,437e0a,0.7000000000000001,1.0,5.499999999999999,0.24999999999999992,5.499999999999999,0.24999999999999992
668,4,437e0a,0.8,1.0,5.499999999999999,0.24999999999999994,5.499999999999999,0.24999999999999994
669,4,437e0a,0.9,1.0,5.499999999999999,0.24999999999999992,5.499999999999999,0.24999999999999992
670,4,437e0a,1.0,1.0,5.499999999999999,0.24999999999999994,5.499999999999999,0.24999999999999994
671,4,437e0a,0.0,1.15,5.564794816414683,0.2856371490280775,5.564794816414683,0.2856371490280775
672,4,437e0a,0.1,1.15,5.574488048383776,0.28750346803043136,5.574488048383776,0.28750346803043136
673,4,437e0a,0.2,1.15,5.584175625604887,0.2893759871570569,5.584175625604887,0.2893759871570569
674,4,437e0a,0.30000000000000004,1.15,5.593857474941155,0.2912547000846484,5.593857474941155,0.2912547000846484
675,4,437e0a,0.4,1.15,5.603533523461891,0.2931396003978248,5.603533523461891,0.2931396003978248
676,4,437e0a,0.5,1.15,5.613203698444178,0.29503068158948165,5.613203698444178,0.29503068158948165
677,4,437e0a,0.6000000000000001,1.15,5.622867927374472,0.2969279370611477,5.622867927374472,0.2969279370611477
678,4,437e0a,0.7000000000000001,1.15,5.632526137950142,0.29883136012334055,5.632526137950142,0.29883136012334055
679,4,437e0a,0.8,1.15,5.6421782580810875,0.30074094399593276,5.6421782580810875,0.30074094399593276
680,4,437e0a,0.9,1.15,5.65182421589124,0.302656681808511,5.65182421589124,0.302656681808511
681,4,437e0a,1.0,1.15,5.661463939720129,0.3045785666007459,5.661463939720129,0.3045785666007459
682,4,437e0a,0.0,1.3,5.61278195488722,0.31766917293233105,5.61278195488722,0.31766917293233105
683,4,437e0a,0.1,1.3,5.629541760941727,0.3213250689976311,5.629541760941727,0.3213250689976311
684,4,437e0a,0.2,1.3,5.646267630015673,0.32500051497630333,5.646267630015673,0.32500051497630333
