,N,graph,p_Bd,r,abs_time_uniform,fix_prob_uniform,abs_time_temp,fix_prob_temp,abs_time_uniform_1,abs_time_uniform_2,abs_time_uniform_3,abs_time_uniform_4,abs_time_uniform_5,abs_time_uniform_6,fix_prob_uniform_1,fix_prob_uniform_2,fix_prob_uniform_3,fix_prob_uniform_4,fix_prob_uniform_5,fix_prob_uniform_6
547,6,45456a5f0a,0.8,1.0,14.834891392196113,0.16666666666666632,14.506777506067927,0.16324786324786292,12.37403724623472,16.06531846517681,16.065318465176812,16.065318465176812,16.06531846517682,12.374037246234714,0.14102564102564077,0.1794871794871791,0.1794871794871791,0.17948717948717913,0.17948717948717913,0.1410256410256407
548,6,45456a5f0a,0.9,1.0,15.118809438471608,0.16666666666666632,14.670685311677564,0.16160337552742582,12.131315259844655,16.612556527785085,16.612556527785085,16.612556527785085,16.612556527785085,12.131315259844655,0.13291139240506303,0.18354430379746794,0.18354430379746794,0.18354430379746797,0.18354430379746794,0.132911392405063
549,6,45456a5f0a,1.0,1.0,15.426657662702178,0.1666666666666663,14.836756169402385,0.15972222222222188,11.887248702903408,17.196362142601565,17.196362142601565,17.196362142601565,17.196362142601565,11.887248702903406,0.12499999999999974,0.18749999999999956,0.18749999999999964,0.18749999999999956,0.1874999999999996,0.12499999999999975
550,6,4545696f0a,0.0,1.0,12.728850595184554,0.16666666666666666,12.728850595184554,0.16666666666666663,13.508352278172529,9.641702817756919,12.313694629370842,15.087306938263668,12.313694629370843,13.508352278172527,0.2142857142857143,0.07142857142857144,0.14285714285714288,0.2142857142857142,0.1428571428571429,0.21428571428571425
551,6,4545696f0a,0.1,1.0,13.15667710406438,0.16666666666666674,13.205654567820329,0.16828282828282834,13.593710921814345,11.011320876912004,12.84755309992213,15.046213704001316,12.847553099922132,13.593710921814345,0.20505050505050512,0.08787878787878792,0.14848484848484855,0.20505050505050504,0.1484848484848486,0.2050505050505051
552,6,4545696f0a,0.2,1.0,13.627789653287772,0.16666666666666674,13.685095527763293,0.16913978494623666,13.685645802641131,12.543262842813512,13.429191671495728,14.993800128639394,13.429191671495731,13.68564580264113,0.19569892473118292,0.10537634408602158,0.1537634408602152,0.19569892473118283,0.15376344086021518,0.1956989247311829
553,6,4545696f0a,0.30000000000000004,1.0,14.151245956530913,0.16666666666666682,14.168496699309342,0.16919540229885072,13.78617998711429,14.269652450975908,14.068551429283682,14.928360455413614,14.068551429283682,13.78617998711429,0.18620689655172434,0.12413793103448288,0.15862068965517254,0.18620689655172426,0.15862068965517256,0.18620689655172426
554,6,4545696f0a,0.4,1.0,14.738768161502312,0.1666666666666667,14.657675449679722,0.1683950617283951,13.897930873902114,16.23198958241737,14.778527803733686,14.847702031324909,14.778527803733686,13.897930873902109,0.17654320987654326,0.1444444444444444,0.1629629629629631,0.1765432098765431,0.16296296296296311,0.17654320987654323
555,6,4545696f0a,0.5,1.0,15.405791131763706,0.16666666666666688,15.155135989595543,0.16666666666666688,14.024340612293914,18.484846206915375,15.576134406935013,14.748950545209008,15.576134406935013,14.024340612293916,0.1666666666666669,0.16666666666666702,0.16666666666666685,0.1666666666666669,0.16666666666666688,0.16666666666666685
556,6,4545696f0a,0.6000000000000001,1.0,16.173048473621126,0.16666666666666682,15.66436025223926,0.163913043478261,14.17002460671339,21.101458880206792,16.48426379678841,14.62825515451636,16.484263796788415,14.170024606713387,0.1565217391304349,0.1913043478260873,0.16956521739130448,0.1565217391304349,0.1695652173913045,0.15652173913043488
557,6,4545696f0a,0.7000000000000001,1.0,17.06904836185586,0.16666666666666666,16.190261231602566,0.15999999999999992,14.341315439160487,24.182459393089967,17.534435960359883,14.48032797900446,17.534435960359886,14.341315439160484,0.14603174603174604,0.21904761904761916,0.17142857142857126,0.146031746031746,0.17142857142857126,0.14603174603174604
558,6,4545696f0a,0.8,1.0,18.134081804820635,0.16666666666666677,16.739916127274626,0.15473684210526326,14.547143372563058,27.870009983173137,18.771247870450203,14.29769835972414,18.771247870450207,14.547143372563053,0.13508771929824576,0.25087719298245637,0.17192982456140357,0.13508771929824567,0.17192982456140363,0.13508771929824573
559,6,4545696f0a,0.9,1.0,19.42699745009628,0.16666666666666685,17.32380465349284,0.14784313725490209,14.80052451962122,32.37169542602023,20.259894014055888,14.069452207203224,20.259894014055888,14.80052451962122,0.12352941176470598,0.28823529411764737,0.1705882352941179,0.12352941176470592,0.17058823529411793,0.12352941176470597
560,6,4545696f0a,1.0,1.0,21.037260503990638,0.16666666666666655,17.95801225398022,0.13888888888888884,15.12120969163814,38.00305074801072,22.099552496223577,13.778987900209675,22.099552496223573,15.121209691638144,0.11111111111111116,0.3333333333333322,0.166666666666667,0.11111111111111086,0.16666666666666696,0.1111111111111112
561,6,4545686f0a,0.0,1.0,13.673828350774258,0.1666666666666667,13.673828350774258,0.16666666666666669,13.083266490005006,12.204361092689759,13.083266490005009,14.88520544822987,13.901665135486033,14.885205448229879,0.1428571428571429,0.14285714285714293,0.1428571428571429,0.21428571428571425,0.1428571428571429,0.2142857142857143
562,6,4545686f0a,0.1,1.0,13.801634854042286,0.16666666666666655,13.819035134772744,0.16729264475743336,13.38350961449134,12.728841663951842,13.383509614491343,14.622200904962678,14.069546421393841,14.622200904962687,0.1478873239436619,0.14788732394366186,0.1478873239436619,0.2042253521126758,0.14788732394366194,0.20422535211267592
563,6,4545686f0a,0.2,1.0,13.935644537260464,0.16666666666666677,13.95514374564237,0.1675925925925927,13.689890076163211,13.273200989037834,13.689890076163215,14.35900990978643,14.24286626262566,14.359009909786431,0.1527777777777779,0.1527777777777779,0.15277777777777793,0.19444444444444453,0.15277777777777793,0.19444444444444456
564,6,4545686f0a,0.30000000000000004,1.0,14.07679813871385,0.16666666666666674,14.082597694771193,0.16757990867579914,14.003373200274321,13.84004314410455,14.003373200274321,14.095694853909654,14.422609579810603,14.095694853909656,0.15753424657534254,0.15753424657534257,0.1575342465753425,0.1849315068493151,0.1575342465753425,0.1849315068493151
565,6,4545686f0a,0.4,1.0,14.226155591761602,0.16666666666666666,14.20187141926909,0.16726726726726726,14.32504855810931,14.432348271726138,14.32504855810931,13.832304533836204,14.609879094952438,13.83230453383621,0.16216216216216217,0.1621621621621622,0.16216216216216223,0.17567567567567557,0.1621621621621622,0.1756756756756757
566,6,4545686f0a,0.5,1.0,14.38492177803915,0.16666666666666685,14.31347862907322,0.16666666666666682,14.65615533947606,15.053548441699323,14.65615533947606,13.568875209200987,14.805921129181469,13.568875209200991,0.16666666666666685,0.16666666666666688,0.16666666666666685,0.1666666666666668,0.16666666666666685,0.16666666666666682
567,6,4545686f0a,0.6000000000000001,1.0,14.554478566813708,0.16666666666666682,14.417982786834376,0.16578947368421065,14.998114056285733,15.707622470909017,14.998114056285733,13.305431563907394,15.012157689586969,13.305431563907398,0.17105263157894757,0.17105263157894748,0.17105263157894757,0.1578947368421053,0.17105263157894757,0.1578947368421054
568,6,4545686f0a,0.7000000000000001,1.0,14.736425064033154,0.16666666666666674,14.516010354834208,0.1646464646464647,15.352566497175276,16.399215466378433,15.352566497175284,13.041987577790405,15.230226767889121,13.041987577790412,0.1753246753246754,0.17532467532467538,0.17532467532467547,0.14935064935064932,0.17532467532467547,0.14935064935064943
569,6,4545686f0a,0.8,1.0,14.932628693579098,0.16666666666666677,14.608267676948667,0.16324786324786336,15.721426552432668,17.133790952779965,15.721426552432668,12.778547315513997,15.46203347280128,12.778547315514,0.1794871794871796,0.17948717948717965,0.1794871794871796,0.14102564102564105,0.17948717948717963,0.1410256410256411
570,6,4545686f0a,0.9,1.0,15.14529073173565,0.16666666666666685,14.695562697189299,0.16160337552742632,16.10694552730073,17.917826441450234,16.106945527300738,12.515105638911992,15.709815616538203,12.515105638911997,0.18354430379746858,0.18354430379746856,0.18354430379746864,0.13291139240506336,0.18354430379746864,0.13291139240506342
571,6,4545686f0a,1.0,1.0,15.37703136369445,0.16666666666666677,14.778833199555361,0.15972222222222232,16.51179700984072,18.759067641662003,16.511797009840723,12.251648848499553,15.976228823824142,12.251648848499558,0.1875000000000001,0.18750000000000017,0.18750000000000014,0.12500000000000003,0.18750000000000017,0.12500000000000008
